videoId,title,movieName,genres,subtitles,word_count
yV4ruuvPLD4,IF | Final Trailer,IF,"['Comedy', 'Fantasy', 'Drama', 'Family', 'Animation']","What if I told you imaginary friends are real? And when their kids grow up, they're forgotten. Gah! -Are any of them scary?
-Worse, desperate. Question: Why did these kids
forget about us in the first place? Last week, I just started falling apart! You’re sucking the oxygen out of the room! Honestly, doc, this is how it's going to be.
I'm just going to wheel myself back and plug in. We've started a matchmaking agency
to help IFs find new kids. Or we just disappear! -Blue.
-[sobbing] Happy place, happy place. Oh, coffee and croissants.
Coffee and croissants. -I can help you.
-How? Because I'm a kid. You are the chosen one. No, let's not give her a complex. Good luck shortstack. It's all up to you. No pressure. Cloak and dagger! Hope this works. All right, let's find these IFs some kids. Keith! What kind of a kid creates an invisible IF? I can find anyone! Anywhere! He got in my mouth. Thanks for doing this. Don't look him in the eye. Which one? Yeah, that's going to grow right back. Am I disappearing? Oh, I am not ready for this. I need to throw up, or I need a snack. -It's one of the two.
-Gross. We have to help them. Yes we do. I’m not going to ask you again. Put some pants on.
You're freaking everyone out. -Hi -achoo! How'd it go? Oh, oh my God. So does this make us partners? Let's not get ahead of ourselves, shall we? Keith! And Mom said too much candy
isn't good for your tummy, But I said— 
[farts] Oh, my God. Oh, my eyes can taste it. I'm so sorry. You don't taste that in your eyeballs?",290
aDyQxtg0V2w,Civil War | Official Trailer HD | A24,Civil War,"['Action', 'War', 'Thriller']","19 states have seceded. The United States Army ramps up activity. The White House issued warnings to the Western Forces as
well as the Florida Alliance. The three-term president assures the uprising will
be dealt with swiftly. Let me know if you want
to try anything on. Are you guys aware there's like a pretty
huge civil war going on all across America? We just try to stay out. With what we see on the news,
seems like it's for the best. Citizens of America, the so-called Western Forces
of Texas and California Move it! have suffered a very great defeat at the hands of the
United States military. Mr. President, do you
regret the use of air strikes against American citizens? Run! They're moving to DC today. We need to go down there. They shoot journalists
on sight in the capital. Every instinct in me says this is death. Flood it. Every time I survived a war-zone, I thought I was sending a warning home. 'Don't do this.' But here we are. There's some kind of
misunderstanding here. What? We're American, okay? Okay, what kind of American are you? You don't know? The Western Forces will
reach the White House on July 4th. Oh my god. Get in the car! Get in the car! Move, move, move! You're gonna hang back. I'm not hanging back. One nation under God indivisible with liberty and justice for all. Go, go, go, go, go! God bless America.",245
xtAL2x58hns,Abigail | Official Trailer 2,Abigail,"['Horror', 'Thriller', 'Comedy']","Please let me out. I'm scared.
- Cut the shit. You're really good at
pretending to be a little girl. Thank you. Quick question: Who's
inside a cage right now? What do we know about
vampires? How do we kill it? Crucifixes. Stake through the heart. Daylight is a big one. We need to find a way
out of here. We split up. This is just a game to her. What can I say? I like
playing with my food. Hello?",81
lTEXKIq3tlU,Joker: Folie À Deux - Official Teaser Trailer - Warner Bros. UK &amp; Ireland,Joker: Folie À Deux,"['Drama', 'Crime', 'Thriller']","Let's go, boys. It's showtime.
Wakey-wakey. Hey, Fleck, you got a joke for us today? We use music to make us whole. To balance the fractures within ourselves. I'm nobody. I haven't done anything with my life
like you have. Let's get out of here. Tell us, what's changed, Arthur? I'll tell you what's changed,
I'm not alone anymore. That's what we should be talking about. I want to see the real you.",73
e6yDanmWI1E,BEETLEJUICE BEETLEJUICE | Official Teaser Trailer,BEETLEJUICE BEETLEJUICE,"['Fantasy', 'Comedy']","[intriguing
string music playing] -  ♪  Day-O  ♪ ♪  Me say day-ay-o  ♪ ♪  Daylight come
and me want to go  ♪ ♪  Come, mister tally man  ♪ ♪  Tally me banana  ♪ ♪  Daylight come
and me want to go  ♪ [choir echoing] ♪  Day, me say day,
me say day, me say day  ♪ ♪  Me say day,
me say day-ay-ay-o  ♪ [rumbling and crackling] [growling and screaming] ♪  Daylight come
and me want to go  ♪ - The Juice is loose. [thunder rumbling] -  ♪  Home  ♪ [bell tolling]",92
I0k04aH71UA,Fly Me To The Moon — Official Trailer | Apple TV+,Fly Me To The Moon —,"['Comedy', 'Romance']","Hey Joe. Joe:
Evening, Cole. Miss, you’re on fire. Very original. No I do not want to stop, drop, and roll with you. No, your book is on fire. [gasps] [fire blazes] [laughs] Kelly:
Oh my god. Alcohol and flames, they like each other. [laughs] Cole Davis. Kelly Jones. Public support for the moon mission is rock bottom. Everyday, something’s breaking. [alarm] And we’re dead. Again. Cole:
Or blowing up. [explosion] [thuds] The space program is a bloated mess. NASA needs a marketing specialist and you are the very best. Cole:
Excuse me? What are you doing here? I tracked you down because I felt we had a connection. What? I’m joking. I work here now. To sell the moon. NASA’s not something that you sell with a jingle and a slogan. When I’m done, those men are gonna be bigger than the Beatles. Cole:
Who is that? For me this is very personal. He’s got my name! You told me that your guys don’t do interviews Kelly:
so I had to hire new guys. I’m here for the casting. Who’s he? You. You’re a juicy part. Sixty missions in Korea? I flew fifty-two missions in Korea. I flew fifty-two missions in Korea. How was that? What? The whole world will be watching. Mo:
We can’t afford to lose to the Russians. Mo:
We need to shoot- -a back up version of the moon landing. You mean to fake it? No one can ever know what we’re doing.  I cannot accept that. Kelly:
They will shoot you. What is my budget? Oh boy. [plane rotor] Cole:
I know a lot more about the moon- -than I know about you. Give me go, no go for launch. [rocket liftoff] Cole:
If you fake this mission... Cole:
Every single thing we have sacrificed- -will have been for nothing. You know you couldn’t have made it to this day without me. [car drifts] [glass shatters] Cole:
Four... Cole: Three...
Kelly: Three... Cole: Two...
Kelly: Two... Cole: One...
Kelly: One... And... My Armstrong is a whiny little witch, Lance:
we have to recast. [crashes] I think we should’ve gotten Kubrick.",356
mb2187ZQtBE,"IF | Final Trailer (2024 Movie) - Ryan Reynolds, John Krasinski, Steve Carell",IF,"['Comedy', 'Fantasy', 'Drama', 'Family', 'Animation']","What if I told you imaginary friends are real? And when their kids grow up, they're forgotten. Gah! -Are any of them scary?
-Worse, desperate. Question: Why did these kids
forget about us in the first place? Last week, I just started falling apart! You’re sucking the oxygen out of the room! Honestly, doc, this is how it's going to be.
I'm just going to wheel myself back and plug in. We've started a matchmaking agency
to help IFs find new kids. Or we just disappear! -Blue.
-[sobbing] Happy place, happy place. Oh, coffee and croissants.
Coffee and croissants. -I can help you.
-How? Because I'm a kid. You are the chosen one. No, let's not give her a complex. Good luck shortstack. It's all up to you. No pressure. Cloak and dagger! Hope this works. All right, let's find these IFs some kids. Keith! What kind of a kid creates an invisible IF? I can find anyone! Anywhere! He got in my mouth. Thanks for doing this. Don't look him in the eye. Which one? Yeah, that's going to grow right back. Am I disappearing? Oh, I am not ready for this. I need to throw up, or I need a snack. -It's one of the two.
-Gross. We have to help them. Yes we do. I’m not going to ask you again. Put some pants on.
You're freaking everyone out. -Hi -achoo! How'd it go? Oh, oh my God. So does this make us partners? Let's not get ahead of ourselves, shall we? Keith! And Mom said too much candy
isn't good for your tummy, But I said— 
[farts] Oh, my God. Oh, my eyes can taste it. I'm so sorry. You don't taste that in your eyeballs?",290
30odBSK8QIE,Joker: Folie À Deux | Teaser Trailer Ufficiale,Joker: Folie À Deux,"['Drama', 'Crime', 'Thriller']",,0
M-ppnYEAqSE,What Jennifer Did | Official Trailer | Netflix,What Jennifer Did,"['Documentary', 'Crime']","- 911, do you require--
- Help me, please! I need help! - Calm down. What's going on?
- Someone broke in. I heard shots. I don't know what's happening.
I'm tied upstairs. Dad?! - Hello?
- I'm okay! I'm all right! A woman is dead, and her husband injured
after a home invasion in Markham. There was a knock at the door,
then three gunmen burst inside. He dragged me down the stairs,
and then I heard two pops. We don't get
a lot of homicides in Markham, so it's like a grenade going off. Investigators
are not ruling out any scenario, including the possibility
the men broke into the wrong home. We're only gonna have one witness,
and that is the daughter, Jennifer Pan. Why would you leave a surviving witness? It doesn't make sense. Something's not right about this. Now I wanna know everything about her. The Pan family were fairly normal,
but outward appearances are one thing. What actually happens inside the house
are completely different. There was just so much expectation. So I lied. I lied. I lied. This is the moment
where everything changes. This quickly developed into something
that nobody ever saw coming. There's nothing normal
about murder, but this one is particularly unnerving. What other lies
hasn't she told us yet?",219
YPY7J-flzE8,"A Quiet Place: Day One | Official Trailer (2024 Movie) - Lupita Nyong&#39;o, Joseph Quinn",A Quiet Place: Day One,"['Horror', 'Science Fiction', 'Thriller']",[car horns honking] [police siren] [impact explosion] Help me! Help me— [creature roaring] [car exploding] [woman screaming] Please! Please! [coughing] Shhhhh. [creature bellowing],23
wdok0rZdmx4,TWISTERS | Official Trailer,TWISTERS,"['Action', 'Adventure', 'Drama']","Guys, whatever's in there is big and it's moving fast. Drive. Look out! Guys, you gotta get outta there. Do you hear me? That's Tyler Owens. Calls himself Tornado Wrangler. If you feel it- Chase it! I said if you feel it- Chase it! All right, here we go. Oh, she's perfect. She's gorgeous. You thought you could destroy a tornado? We never had a chance. You want one? You don't face your fears... You ride 'em. We got twins, twins! Was that it? Nope.",85
XtFI7SNtVpY,Kingdom of the Planet of the Apes | Official Trailer,Kingdom of the Planet of the Apes,"['Science Fiction', 'Adventure', 'Action']","[Ape roars] PROXIMUS
Yes! PROXIMUS
Are you familiar... ...with the concept of evolution? In their time, humans were
capable of many great things. KID APE
Noa! PROXIMUS
They could fly like eagles fly. They could speak across oceans... but now, it is... ...our time. And it is... My kingdom. We will learn. Apes will learn.  I will learn. And I... ...will conquer. [Proximus roars] RAKA
Legend says... ...ape and human lived side-by-side,
impossible as that may seem. NOA
Why do they hunt her? RAKA
She is smarter than most. NOA
The elders... ...did not tell us
everything about this world. PROXIMUS
Bend for your king. NOA
Apes hunt humans. That... Is wrong. PROXIMUS
Together... You will die. NOA
No... Together... Strong! PROXIMUS
Yes!",123
FVswuip0-co,FURIOSA : A MAD MAX SAGA | OFFICIAL TRAILER #2,FURIOSA : A MAD MAX SAGA,"['Science Fiction', 'Action', 'Adventure']","- Furiosa! We've come too far! [rumbling] [engine revving] Furiosa! ♪♪ They took Furiosa! ♪♪ - [screaming] As a child,
my world was forever changed. My mother was magnificent. [gunshot] Then he took it all from me. - [chanting]
Dementus! Dementus! - Who do we have here? - She's from
a place of abundance. - This is our destiny. - My childhood... my mother... I want them back. I want them back! [tires squealing] ♪♪ - Whatever you have to do... however long it takes... promise you will
find your way home. - Mom! - Protect the green place. - It's time to take
what's rightfully ours! Ready... steady... go! ♪♪ [bullets clinking] Where are you going, so full of hope? There is no hope! - If you find him, he's mine. [laughing] ♪♪ ♪♪ - There will always be war. But to get home... Furiosa fought the world. [engine revving] ♪♪ [engine revving] - Remember me? ♪♪",158
bUSoEQBHtSg,Mother of the Bride | Official Trailer | Netflix,Mother of the Bride,"['Romance', 'Comedy']","I can't believe
my little girl is getting married. Here's the wedding itinerary
for the week. Looks like
we won't get much time together. You're in the dance rehearsal.
See the asterisk? -""Mother of the Bride?""
-Now, I'm an asterisk. RJ! This is my Aunt Janice. And you must be the mother of-- -Lana?
-Hi-lo! I mean, ""Hello."" Could someone explain
what's going on? Once upon a time, your father and Emma's mother dated in college. -Wait. What?
-Oh, I mean, it wasn't serious. Are you serious? My daughter has to fall for the son of the guy
who ripped my heart out. You have to play cool.
Let him see what he's missed, but don't let him know you care. Will? -What are you doing?
-I'm leaving. Best thing you can do is relax. -Mixed doubles?
-She doesn't like to lose. Who said anything about losing? -I'm so sorry.
-Hey, buddy, I'm a doctor. I need you to relax and breathe. Hey, listen.
Can I buy you a drink tonight? -Oh, thank you, but--
-She's wide open. -See you then.
-You're welcome. I get that
you were a thing in college, but what's the big deal? We were everything to each other. And then, one day, he's just gone. Everyone, find your partners. I don't have a partner. I'll be your partner. What is going on
between the two of them? -Mom, are you okay?
-Honey, I'm fine. It's time to take care of me a bit less and take care of yourself a bit more. I just want you to be happy. Nothing says elegance
like a black and white wedding. So, your mother will be wearing this one.",281
F_Rspu3Xoi4,The Beach Boys | Official Trailer,The Beach Boys,"['Documentary', 'Music']","BRIAN WILSON
Play hard and strong, all the way. Hold it please. Try it one more time, from the top. HAL BLAINE
One, two, one, two... DICK CLARK
Ladies and gentlemen, the Beach Boys. ♫ Well she got her daddy's car ♫ ANNOUNCER
The Beach Boys just represented some sort of fantasy. JOSH KUN
They were participating in the creation of a California dream. ♫ Look like a Roman chariot race now ♫ DON WAS
Man, they made me want to go to where they had
cars and girls in bikinis. ♫ Fun, Fun, Fun ♫ ...and sun. RYAN TEDDER
Their music takes you someplace. MIKE LOVE
There's definitely been ups and downs. We've probably been counted
out half a dozen times. DENNIS WILSON
We used to sing three part harmony in the back seat of the car. And that's the birth of
the brothers singing together. ♫ Round round get around,
I get around, yeah ♫ BRIAN WILSON
Three brothers, Brian, Dennis and Carl. A cousin, Mike Love, and our
good friend, Al Jardine. That's family to me. CARL WILSON
We've know each other for a really long time, and there
really is a great deal of fellowship in the group. And we've been through an awful lot. ♫ I'm gettin' bugged driving up
and down the same old strip ♫ PAUL MCCARTNEY
We ended up as kind of like a rivalry. ED SULLIVAN
The Beatles! Bring 'em on down. Here are the Beach Boys! ♫ I get around, get around,
round, round, I get around ♫ JOSH KUN
If one group didn't have the other, would their music actually
be what it became? AL JARDINE
Brian was really learning to be a producer. HAL BLAINE
That's when we started realizing there's some genius here. AL JARDINE
But his dad began to be an obstacle. MURRY WILSON
Brian, I'm a genius too, let's go, huh? MIKE LOVE
My Uncle Murry sold the publishing. MARILYN WILSON-RUTHERFORD
And Brian went, ""You sold my songs?"" DON WAS
Brian put together textures that no one had ever put into
popular songs before. He did it first. BRIAN WILSON
Here we go, 'Wouldn't It Be Nice', take one. ♫ Wouldn't it be nice
if we were older ♫ JANELLE MONÁE
They really showed what it's like when everybody understands
the part they have to play. ♫ Wouldn't if be nice to live together ♫ DON WAS
There's something about the way those individuals blended
together. They're all part of it. ♫ You know it's gonna
make it that much better ♫ ♫ When we can say goodnight
and stay together ♫ MIKE LOVE
The fact that it was a family, it's where the success came from.",452
V-mugKDQDlg,Fallout - Official Trailer | Prime Video,Fallout,"['Action', 'Science Fiction']","Hello there. I'm here to show you a…
wonderful place. A veritable Camelot of the nuclear age… not made by God Almighty,
but the working man. You could be a hero by purchasing
a residence in a Vault-Tec Vault today. Because if the worst
should happen tomorrow, the world is gonna need you
to build a better day after. The mission of the Vaults
should be important to everyone. To come up to the surface one day
and restart civilization. Can you tell me what's happened
in the last 200 years? Holy shit. You're an actual Vault Dweller. I am. I thought all you dipshits were dead. What you're doing is insane. It isn't like the Vault out there.
It's big. I've had a rough week. Practically every person
I've met out here has tried to kill me. I'm simply going to harvest your organs. Huh? You need to go home. You come from a world of rules, of laws. You should not be alone. Why did you join the Brotherhood? To hurt the people who hurt me. People are going to come after you. Ain't much stays clean up here, Vaultie. Well, now that is a very small drop in a very, very large bucket of drugs. You look out at this Wasteland… Looks like chaos but there's always somebody
behind the wheel. What is happening here? Everyone wants to save the world,
they just… They disagree on how. There you are… you little killer.",246
NuON7HH0UkQ,CUCKOO - Official Trailer,CUCKOO,"['Horror', 'Thriller', 'Mystery']","Mom, I really want to come home. It’s getting bad. How is your journey? Very pleasant. (Good.) Thank you. Gretchen. Come say hi. What’s up. I'm your neighbor. Haven't heard about you. Why would you have about me? How would you like to come work for me at the resort? This happens sometimes. You look like you don't belong here. Why is there nobody working the reception after ten? I want you to lock the doors and wait for me I’m gonna come pick you up right now. If I were you, I wouldn't want to get hurt even more. Why did you bring us here? your family belongs here. That's a fucking weird way to put it. You told the police that you were chased
by a woman. They think I'm crazy. Nature is quite remarkable. I don’t feel so good. We have to go. Some species need our help I'm giving you the chance to be of great use in our quest for preservation. Consider yourself lucky. Mom, I really want to come home. It’s. getting bad. How is your journey? Very pleasant. (Good.) Thank you. Gretchen. Come say hi. What’s up. I'm your neighbor. Haven't heard about you. Why would you have about me? How would you like to come work for me at the resort? This happens sometimes. You look like you don't belong here. Why is there nobody working the reception after ten? I want you to lock the doors and wait for me I’m gonna come pick you up right now. If I were you, I wouldn't want to get hurt even more. Why did you bring us here? your family belongs here. That's a fucking weird way to put it. You told the police that you were chased
by a woman. They think I'm crazy. Nature is quite remarkable. I don’t feel so good. We have to go. Some species need our help I'm giving you the chance to be of great use in our quest for preservation. Consider yourself lucky.",338
