title,text,genre
Damsel | Official Trailer | Netflix,"I have made a match. A prince. We need this. Your people need you. I need you to listen to me now. I don't trust them. They may be royalty, but that doesn't
make them good people. Your hand, child. Close your eyes. I've got you. Help me! What happened to you? Elodie, you join a long line of women who have helped
to build this kingdom. It is this sacrifice
we commemorate every generation. A tradition going back centuries. A legacy of honor and duty you now inherit. Run! I will escape for every innocent woman whose life was stolen. Seize her. Elodie! You know nothing of our story. This is the end of your story.","['Fantasy', 'Action', 'Adventure']"
The Acolyte | Official Trailer | Disney+,"SOL
Close your eyes. Your eyes... can deceive you. We must not trust them. ♪♪ SOL
Tell me what comes into your mind. ♪♪ YOUNGLING 1
Life. YOUNGLING 2
Balance. YOUNGLING 3
I see fire. YORD
Someone is killing Jedi. YORD
It doesn't make sense. SOL
What happened? CONVICT
I sensed darkness. ♪♪ ANISEYA
This isn't about good or bad. This is about power... and who is allowed to use it. JECKI
What is that?",['Comedy']
Godzilla x Kong : The New Empire | Official Trailer,"[ethereal voices] [needle scraping] - For most of human
civilization... we believed that life
could only exist... [rumbling] on the surface of our planet. [seismometer scraping] [seismometer scraping] [roaring] What else
were we wrong about? - ♪  Welcome to my world  ♪ [screeching] ♪  Won't you come on in  ♪ - [roaring] - This world has more secrets... than we could possibly imagine. - ♪  Miracles,  I guess  ♪ - [growling] - ♪  Still happen now and then ♪ - What is that? - That's not Kong. What could have done this? [low growling] [roaring] [screaming] - Kong can't stop this
on his own. - He won't be alone. [crackling] [roaring] [seismometer scraping] [seismometer scraping] [seismometer scraping] [roaring] [soundwaves warbling] [roaring] [roaring] - ♪  Welcome to my world  ♪ - Is that a mini-Kong? [grunting]","['Action', 'Science Fiction', 'Adventure', 'Fantasy']"
Kingdom of the Planet of the Apes | Official Trailer,"[Ape roars] PROXIMUS
Yes! PROXIMUS
Are you familiar... ...with the concept of evolution? In their time, humans were
capable of many great things. KID APE
Noa! PROXIMUS
They could fly like eagles fly. They could speak across oceans... but now, it is... ...our time. And it is... My kingdom. We will learn. Apes will learn.  I will learn. And I... ...will conquer. [Proximus roars] RAKA
Legend says... ...ape and human lived side-by-side,
impossible as that may seem. NOA
Why do they hunt her? RAKA
She is smarter than most. NOA
The elders... ...did not tell us
everything about this world. PROXIMUS
Bend for your king. NOA
Apes hunt humans. That... Is wrong. PROXIMUS
Together... You will die. NOA
No... Together... Strong! PROXIMUS
Yes!","['Science Fiction', 'Adventure', 'Action']"
Monkey Man | Official Trailer,"- [Voice] Close your eyes. - [Voice] And you will find yourself. When I was a boy, my mother used to tell me a story of a demon king and his army. They brought fire and terror to the land. Devil! Sister! Until they faced the
protector of the people. The White Monkey. - [Voice] There you are. - [Voice] You are a beast. In this city, the rich
don't see us as people. Give me the job no one wants to do. I'll do it. Anyone who forgets their place, it doesn't turn out well for them. This is not the place to work if you can't handle that sort of stuff. Every day, I've prayed for a way to protect the weak. I've got an answer to every prayer. I call her Nicki. Minaj! Big bumper, nice headlights. Let's boogie! You need to fight, for
your mother, for all of us. Anger will not quiet your soul, my son. Don't call me son. - [Voice] It's time to remember - [Voice] who you are. - [Voice] Just one small ember - [Voice] can burn down everything. Ladies and gentleman, are
you ready for a fight? Yeah.","['Action', 'Thriller']"
Oppenheimer | New Trailer,"This is a national
emergency. Detonator's charged. We're in a race
against the Nazis, and I know what it means if the Nazis have a bomb. They have a 12 month head start.
-18. How could you
possibly know that? We've got one hope. All America's
industrial might and scientific innovation
connected here, a secret laboratory. Keep everyone
there until it's done. Let's go recruit
some scientists. Build a town,
build it fast. If we don't let scientists
bring their families we'll never get the best. Why would we go to
the middle of nowhere for who knows how long? Why? Why? How about because this is
the most important thing to ever happen in the
history of the world. You're the great
improviser but this... You can't do in your head. Are we saying
there's a chance that when we
push that button, we destroy the world? Chances are near zero. Near zero? What do you want
from theory alone? Zero would be nice. This is a matter
of life and death. I can perform this miracle. World War II
would be over. Our boys would
come home. It's happening, isn't it? The world will
remember this day. Our work here
will ensure a peace mankind
has never seen. Until somebody
builds a bigger bomb. You are the man who
gave them the power to destroy themselves, and the world
is not prepared. Eight... Seven... Six... Five... Four... Three... Truman needs to
know what's next. Two... What's next?
-One.","['Drama', 'History']"
"Fighter Official Trailer | Hrithik Roshan, Deepika Padukone, Anil Kapoor, Siddharth Anand | 25th Jan","A fighter is not just someone
who achieves his targets. He is someone who just blows them apart. You all are top aviators
of the Indian Air Force. And that’s why you were hand-picked
by us to form a quick response team. Get to know each other.
Bond with each other. It's your interpersonal relationships
that will help you win in war. -What the hell?
-Caught you Minni. Arrogant. Confident. Come, let me show you Jammu. Why? Your ex was from here? No. but maybe my next could be. The deadliest terror
attack on Indian forces. More than 40 of our brave soldiers
lost their lives in the attack. Bomb blasts, 26/11,
and now... Pulwama. For the past 50 years no government has given them a befitting reply. But now... enough. It is time to show them who the boss is. We are entering POK.
Mission is a go. The Indians are trapped! You want an eye for an eye? No. I want... Incoming missiles! ...revenge for a betrayal. We carried out a suicide attack while
they replied with an air strike. Four F-16s are heading
towards Srinagar from Pakistan. Now there won't be
any more terror attacks. Now it will be war. Fire! You will find many
lovers in this world... So for my happiness you
have decided to make me cry? ...but no lover can compete with
the love you have for your country. Every single time our force
pays the price for your ego. But this time you too will
pay the price. Many die in a coffin wrapped in diamonds,
many die wrapped in gold... This is my team sir and they need me. ...but there can be no coffin more
beautiful than a coffin wrapped in Tricolor. -Jai Hind!
-Jai Hind! -Jai Hind!
-Jai Hind! I am hit! I am hit! POK stands for
Pakistan Occupied Kashmir. You have occupied it. But we are the actual owners! If terrorists like you push us
beyond our limits of tolerance Then every single inch
will turn into IOP. India Occupied Pakistan. Jai Hind!","['Action', 'Drama', 'Romance']"
CUCKOO - Official Trailer,"Mom, I really want to come home. It’s getting bad. How is your journey? Very pleasant. (Good.) Thank you. Gretchen. Come say hi. What’s up. I'm your neighbor. Haven't heard about you. Why would you have about me? How would you like to come work for me at the resort? This happens sometimes. You look like you don't belong here. Why is there nobody working the reception after ten? I want you to lock the doors and wait for me I’m gonna come pick you up right now. If I were you, I wouldn't want to get hurt even more. Why did you bring us here? your family belongs here. That's a fucking weird way to put it. You told the police that you were chased
by a woman. They think I'm crazy. Nature is quite remarkable. I don’t feel so good. We have to go. Some species need our help I'm giving you the chance to be of great use in our quest for preservation. Consider yourself lucky. Mom, I really want to come home. It’s. getting bad. How is your journey? Very pleasant. (Good.) Thank you. Gretchen. Come say hi. What’s up. I'm your neighbor. Haven't heard about you. Why would you have about me? How would you like to come work for me at the resort? This happens sometimes. You look like you don't belong here. Why is there nobody working the reception after ten? I want you to lock the doors and wait for me I’m gonna come pick you up right now. If I were you, I wouldn't want to get hurt even more. Why did you bring us here? your family belongs here. That's a fucking weird way to put it. You told the police that you were chased
by a woman. They think I'm crazy. Nature is quite remarkable. I don’t feel so good. We have to go. Some species need our help I'm giving you the chance to be of great use in our quest for preservation. Consider yourself lucky.","['Horror', 'Thriller', 'Mystery']"
TWISTERS | Official Trailer,"Guys, whatever's in there is big and it's moving fast. Drive. Look out! Guys, you gotta get outta there. Do you hear me? That's Tyler Owens. Calls himself Tornado Wrangler. If you feel it- Chase it! I said if you feel it- Chase it! All right, here we go. Oh, she's perfect. She's gorgeous. You thought you could destroy a tornado? We never had a chance. You want one? You don't face your fears... You ride 'em. We got twins, twins! Was that it? Nope.","['Action', 'Adventure', 'Drama']"
BACK TO BLACK - Official Trailer [HD] - Only In Theaters May 17,"I want people to hear my voice. Amy Winehouse! And just forget their
troubles for five minutes. Do you know what girl power means to me? Sarah Vaughan. Lauryn Hill. You need to know this,
I ain't no Spice Girl. From primary school, to sell-out concerts. It's gonna happen one of these days. Voice like yours, got to. It's one of the best I've ever heard. That's my daughter, that's my Amy. I met someone tonight. Stay lucky, Amy. Got an eye for the bad boys. Tada! The album's number one around the world. The highest charting album from a British female artist in the US... ever. I don't think I was put on
this earth just to sing. I wanna be your wife, I want to be a mum. Probably run off with
someone famous anyway. You're my heartbeat,
you're my soul, I love you. I don't bang out ten hits by lunch, I need to live my songs, so that's what I'm gonna go and do. Ready? I don't write songs to be famous. I write songs 'cause, I've got to make somethin'
good outta somethin' bad.","['Music', 'Drama']"
Despicable Me 4 | Official Trailer,"Hello, everybody! Gru, what's up?
Yay, Gru! Wait a minute! Three girls, one wife,
something is missing. This guy! Ooh, there's my boy! I know you love your Dada. Go on, say it, ""Dada."" ""Da-da."" Yes, of course he loves you! He just... He just doesn't
show it on his face- Or with his body language. Right, Gru Jr.? Come on. Illumination! Gru, I need a word with you. Your family's lives are at stake. What?! Max Superball has escaped from prison. I'm coming for my revenge, Gru! We have to get to the safe house. It has a vending machine! Oh! I love this place! Ow! The most important part of a heist is being aware of potential dangers. I tranqed myself! No! What? Aw. No, no. Intruders! Ah-ha! Thanks, Ron. Hey, no, oh no! Fire in the hole!","['Animation', 'Family', 'Comedy', 'Adventure']"
"ANIMAL (OFFICIAL TRAILER): Ranbir Kapoor | Rashmika M, Anil K, Bobby D | Sandeep Vanga | Bhushan K",,"['Science Fiction', 'Fantasy', 'Adventure', 'Drama']"
Monkey Man | Official Trailer 2,"Do you remember me? Do even know my mother's name? Hijra! Do you know any
of their names? When I was a boy, they
took everything from me. The rich don't see us as people. To them, we're animals. Both of us. We're broken. If a man wishes
to challenge the gods, he must become more than a man. He must become a beast. Who is he?
-Nobody. Just some crazy kid
from the gutter. He has to be extinguished before your nobody
becomes a somebody. Just one small ember
can burn down everything. Make them remember your name. Are you ready? Yeah. Do you remember me now?","['Action', 'Thriller']"
YODHA - OFFICIAL TRAILER | Sidharth Malhotra | Raashii Khanna | Disha Patani | Sagar & Pushkar,"Everyone dreams about becoming
like their father. It was my dream, too. Arun, till we get orders,
we must negotiate. Arun, wait. I decided that either I'll
always wear this uniform, or my corpse would be wrapped
in our flag. How many times, Arun? Don't you believe in
the chain of command? On an important mission
like this, small mistakes can happen,
Senorita! Indian soldiers are quite sentimental. And crazy too! They're not protectors
but enemies. You're all suspended till
the end of the inquiry. The uniform suits you, son. But you need to earn it, then you must respect it forever. Cabin crew to stations!
Preparing for departure. The pilot is squawking 
at frequency 7500. It's an official hijack now. Breaking news. An Indian passenger
flight has been hijacked. Who's the on-flight commando? The suspected hijacker
is an Indian soldier. An Indian aircraft flying through
Pakistan has been hijacked. It can't be a coincidence. Arun, what's going on? I sent three terrorists' names.
Located them? This is AB175. Requesting
emergency landing. Arun cannot sit back and watch. Serving his country meant
the world to him. You and your country will cease
to exist. Whether I exist or not, my country will exist forever. Till the army arrives, engage them
in negotiation. Negotiating was never the Yodha style.","['Drama', 'Action']"
Civil War | Official Trailer HD | A24,"19 states have seceded. The United States Army ramps up activity. The White House issued warnings to the Western Forces as
well as the Florida Alliance. The three-term president assures the uprising will
be dealt with swiftly. Let me know if you want
to try anything on. Are you guys aware there's like a pretty
huge civil war going on all across America? We just try to stay out. With what we see on the news,
seems like it's for the best. Citizens of America, the so-called Western Forces
of Texas and California Move it! have suffered a very great defeat at the hands of the
United States military. Mr. President, do you
regret the use of air strikes against American citizens? Run! They're moving to DC today. We need to go down there. They shoot journalists
on sight in the capital. Every instinct in me says this is death. Flood it. Every time I survived a war-zone, I thought I was sending a warning home. 'Don't do this.' But here we are. There's some kind of
misunderstanding here. What? We're American, okay? Okay, what kind of American are you? You don't know? The Western Forces will
reach the White House on July 4th. Oh my god. Get in the car! Get in the car! Move, move, move! You're gonna hang back. I'm not hanging back. One nation under God indivisible with liberty and justice for all. Go, go, go, go, go! God bless America.","['Action', 'Science Fiction', 'Drama']"
BEETLEJUICE BEETLEJUICE | Official Teaser Trailer,"[intriguing
string music playing] -  ♪  Day-O  ♪ ♪  Me say day-ay-o  ♪ ♪  Daylight come
and me want to go  ♪ ♪  Come, mister tally man  ♪ ♪  Tally me banana  ♪ ♪  Daylight come
and me want to go  ♪ [choir echoing] ♪  Day, me say day,
me say day, me say day  ♪ ♪  Me say day,
me say day-ay-ay-o  ♪ [rumbling and crackling] [growling and screaming] ♪  Daylight come
and me want to go  ♪ - The Juice is loose. [thunder rumbling] -  ♪  Home  ♪ [bell tolling]","['Fantasy', 'Comedy']"
Road House - Official Trailer | Prime Video,"Before we start... do you have insurance? What? Your coverage good? Like, you have dental? Oh. Haha. Is there a hospital nearby? Is it, like, too far? It’s about, like, twenty-five
minutes, I’d say. Oh, I just slapped you. Are you alright? What? So you like to fight. You ever win? No one ever wins a fight. Elwood Dalton! This ain’t the Holiday Inn, pal. Alright, I’ll -- I’ll move it. A friend of mine suggested
I come talk to you. I own a roadhouse
out in the Florida Keys. Lately it’s been attracting
the wrong clientele. I can pay you good money. Judging by your car,
you need that. Well, I like my car. Think about it. I know who you are... Elwood Dalton. Big fan, man. That guy’s got a knife
under his shirt. You just take a big step back
and pop him in the face. You can do it. Tell me about this bouncer. He acts all nice like he’s Mr. Rogers or something, but then he'll haul off. Really interesting guy, overall. Brandt wants to take the
Road House away from me. He wants to build
some resort. I should warn you. People have a certain way of
getting things done around here. Hey, fellas. Looks like you’re having
a smashing night!  Dalton! I got a tip for you. Don’t let no one get this close. Let me guess... you’re gonna threaten me? Tell me to get outta town? I get the impression that
you can’t be threatened. Once Knox is on the job,
it’s over, baby. It takes a lot to get me
angry, but when I am... I just can’t let go. People seem a little
aggressive around here. Is that one a friend of yours? No, I just... broke his arm.","['Action', 'Thriller']"
"Amar Singh Chamkila | Official Trailer | Imtiaz Ali, A.R. Rahman, Diljit Dosanjh, Parineeti Chopra","The Chamkila. The Elvis of Punjab. Known worldwide for his vulgar songs. And you can't get your head round it. Let me explain. I knit socks at a factory. Although music plays in my mind 24/7, I have to knit socks. Who are you? I’m a nobody today. -But you'll be famous soon?
-Yes. Amar Singh, Chamkila! He announced my name wrong. It's Sangila. Go on now. Who’s going to remember your name tomorrow. I know something for sure, I know what people want to hear. What they enjoy. And I can give them that. He needed a partner. I mean, for shows. As a singer. Have you heard any of my songs? You have. And then it happened. They sang a lot of songs and they became a hit pair. What you’d mentioned earlier, it happened now. Other artists are great, but you are our own, Chamkila! His music is selling a lot. He writes such nonsense about women. Why don’t you stop him? Come out Chamkila, Come out! I've summoned you here for a warning. You sing vulgar songs, Chamkila. They are shooters. Their job is to shoot. So, they will shoot. We are singers. Our job is to sing. So, we will sing. I've always wanted to see myself on the silver screen. I wanted to be a hero. Really? Me too. That's what all Punjabis want.","['Drama', 'Music']"
Family Star Trailer - Vijay Deverakonda | Mrunal | Parasuram | Dil Raju | Gopi Sundar,,"['Comedy', 'Romance', 'Drama', 'Action']"
HAROLD AND THE PURPLE CRAYON - Official Trailer (HD),"Harold:
With the crayon, anything is possible! ♪♪ Narrator:
When someone tells a story... They create an entire world. Narrator:
And usually... Narrator:
The characters stay there. Narrator:
But there are legends… of characters so real. -Woo! With the crayon, anything is possible! Narrator:
That they step right into this world. Harold:
Woah! Woo hoo! Ah! Harold:
Let’s see how this baby works in the real world. Woah! Harold! [All]
Woo! ♪♪ Now that is creative. And terrifying. That’s terri- That’s terrifying. Gary:
Do you know what brought you to life? It's what your crayon is made of. Gary:
The most mysterious, powerful, extraordinary stuff on Earth. Wax? Pure imagination. Gary: Ah!
Harold: Woah! Woah!
Mel: Woah! Fly! Higher! Okay. I am getting really good at this! Sean:
Woah! Yay!  Mom:
Sean! Sean:
Awesome! Oh! What were you thinking? Oh no, honestly, I-I don’t do a lot of thinking. True.","['Adventure', 'Family', 'Fantasy', 'Comedy']"
Fallout - Official Trailer | Prime Video,"Hello there. I'm here to show you a…
wonderful place. A veritable Camelot of the nuclear age… not made by God Almighty,
but the working man. You could be a hero by purchasing
a residence in a Vault-Tec Vault today. Because if the worst
should happen tomorrow, the world is gonna need you
to build a better day after. The mission of the Vaults
should be important to everyone. To come up to the surface one day
and restart civilization. Can you tell me what's happened
in the last 200 years? Holy shit. You're an actual Vault Dweller. I am. I thought all you dipshits were dead. What you're doing is insane. It isn't like the Vault out there.
It's big. I've had a rough week. Practically every person
I've met out here has tried to kill me. I'm simply going to harvest your organs. Huh? You need to go home. You come from a world of rules, of laws. You should not be alone. Why did you join the Brotherhood? To hurt the people who hurt me. People are going to come after you. Ain't much stays clean up here, Vaultie. Well, now that is a very small drop in a very, very large bucket of drugs. You look out at this Wasteland… Looks like chaos but there's always somebody
behind the wheel. What is happening here? Everyone wants to save the world,
they just… They disagree on how. There you are… you little killer.","['Action', 'Science Fiction']"
Civil War | Official Trailer 2 HD | A24,"Citizens of America. The people of the Florida Alliance and the Western forces
of Texas and California will be welcome back
to these United States as soon as their illegal
secessionist government is deposed. You don't know what side
they're fighting for? Someone's trying to kill us. We are trying to kill them.","['Action', 'Science Fiction', 'Drama']"
ATLAS | Official Teaser | Netflix,"Do you copy? Do you copy?! Mayday… Drop it! Oh God. Altitude warning. -Fire thrusters?
-Yes, fire thrusters! Fire thrusters now! Mission Control. This is Atlas Shepherd. Can you hear me?","['Action', 'Science Fiction']"
Unfrosted | Official Trailer | Netflix,"Ground control. We are go for launch. T-minus three… two… one. Liftoff. Liftoff. I believe we have split
the atom of breakfast. In the early 1960s,
the American morning was defined by milk and cereal. And the two undisputed giants
of the cereal world were Kellogg's and Post. Major news
from the breakfast world. The Post cereal company has
reportedly invented a shelf-stable fruit pastry breakfast product. -No.
-Yeah. Boy. It's Post. They did it. I'm about to finally crush
that big red ""K"" that never stops glaring at me. How do you think Post did it? There's always a surprise
inside the box. -I wonder if they used xanthan gum.
-Xanthan. Kellogg's is entering the race
to reinvent breakfast with the help of Steve Schwinn,
Chef Boyardee, and Jack LaLanne. They're stacking the deck
with ringers. You know Isaiah Lamb from Quaker. You Kellogg's people. We're about to have some
very powerful people very upset. You have to win.
Are you making any progress? It's not to scale, but… What are you guys, five years old? Little John-John
draws better than that. And I think something's
wrong with him. Nobody said
this was gonna be easy. We're talkin' about
happy childhoods for millions of American kids. The important thing is the name. -Fruit-magoos. What?
-No. -Heat 'em up and Eat 'em ups.
-No sale. Oblong Nibblers. Is this a joke? Whoever gets to the shelves first
is gonna win this thing. Give up the tarts, old man! Why? How did it get this far? It's breakfast. Things happen. Isn't this a cereal company?
Why did my husband explode?","['Comedy', 'History']"
Maidaan Trailer | Ajay Devgn | Amit Sharma | Boney K | A.R. Rahman | Fresh Lime Films | 10th April,"We are not the largest country. We are not even the richest. Half the world
does not even know us. Football can get us recognition. Because the entire world plays football. So, for the next 10 years, we must focus on making India
a world-class team. Mom! Your husband is here. Your football is your second wife. Have you formed your team? Mr. Ravinder, I am looking for players who can play in any position. But we need a tall goalkeeper. If you want to get into
the Asian Games the level of your performance
has to improve. Mr. S.A. Rahim. I heard he picked up a guy
from the slums of Secunderabad. A 19-year-old boy who plays
local tournaments has been placed on
the striker's position? No one expects that you will win. I think we can beat
any team in the world. And what if you lose? Then I will never coach
any team ever again. You are not the only one
who paid a price for your dream. This was our dream too. The government has no hope
that you can win a medal. - Will you be able to win one?
- Yes, sir! One thought, one belief, one heart, That is why, enter the field as eleven... But play as... ...one.",['Drama']
YODHA - OFFICIAL TEASER | Sidharth Malhotra | Raashii Khanna | Disha Patani | Sagar & Pushkar,"Ladies and gentlemen, the plane 
has eight emergency exits and if you don't wish
to fall out remain seated with your
seat belts fastened. There's a storm up ahead. The pilot has squawked 7500.
It's an official hijack now. Who's the on-flight commando?","['Drama', 'Action']"
